Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A16.01.031.003;Устранение рубцовой деформации челюстно-лицевой области и шеи с замещением дефекта реваскуляризированным лоскутом;st31.005;;;;;;;;;TRUE
A16.01.037;Удаление ксантелазм век ;st21.001;;;;;;;;;TRUE
A16.01.038;Удаление ринофимы;st31.003;;;;;;;;;TRUE
A16.02.001;"Разрез мышцы, сухожильной фасции и синовиальной сумки";st29.009;;;;;;;;;TRUE
A16.02.001.001;Рассечение блоковидной связки сухожилия сгибателя на кисти;st29.009;;;;;;;;;TRUE
A16.02.001.002;Рассечение связки и ревизия первого тыльного сухожильного канала разгибателей на предплечье;st29.009;;;;;;;;;TRUE
A16.02.001.003;Фасциотомия;st29.009;;;;;;;;;TRUE
A16.02.002;Удаление новообразования мышцы;st29.010;;;;;;;;;TRUE
A16.02.003;Удаление новообразования сухожилия;st29.009;;;;;;;;;TRUE
A16.02.004;Иссечение контрактуры Дюпюитрена;st29.009;;;;;;;;;TRUE
A16.02.004.001;Иссечение тяжа ладонного апоневроза;st29.009;;;;;;;;;TRUE
A16.02.004.002;Скаленотомия;st29.009;;;;;;;;;TRUE
A16.02.005;Пластика сухожилия;st29.011;;;;;;;;;TRUE
A16.02.005.001;Пластика ахиллова сухожилия;st29.011;;;;;;;;;TRUE
A16.02.005.002;Пластика разрыва ключично-акромиального сочленения;st29.011;;;;;;;;;TRUE
A16.02.005.003;Пластика сухожилия кисти;st29.011;;;;;;;;;TRUE
A16.02.005.004;Пластика вращательной манжеты плеча артроскопическая;st29.011;;;;;;;;;TRUE
A16.02.005.005;Пластика разрыва ключично-акромиального сочленения с использованием видеоэндоскопической техники;st29.011;;;;;;;;;TRUE
A16.02.006;"Удлинение, укорочение, перемещение мышцы и сухожилия";st29.009;;;;;;;;;TRUE
A16.02.006.001;"Удлинение, укорочение, перемещение мышцы и сухожилия с использованием анкерых фиксаторов";st29.012;;;;;;;;;TRUE
A16.02.007;Освобождение мышцы из рубцов и сращений (миолиз);st29.009;;;;;;;;;TRUE
A16.02.008;Освобождение сухожилия из рубцов и сращений (тенолиз);st29.009;;;;;;;;;TRUE
A16.02.009;Восстановление мышцы и сухожилия;st29.009;;;;;;;;;TRUE
A16.02.009.001;Артроскопический латеролиз надколенника;st29.011;;;;;;;;;TRUE
A16.02.009.002;Артроскопическое восстановление медиального ретинакулима надколенника с помощью анкерных фиксаторов;st29.012;;;;;;;;;TRUE
A16.02.009.003;Наложение шва ахиллова сухожилия закрытым способом;st29.011;;;;;;;;;TRUE
A16.02.009.004;Наложение шва сухожилия;st29.011;;;;;;;;;TRUE
A16.02.009.005;Наложение шва сухожилия с использованием видеоэндоскопической техники;st29.011;;;;;;;;;TRUE
A16.02.009.006;Наложение шва ахиллова сухожилия открытым способом;st29.011;;;;;;;;;TRUE
A16.02.010;Рассечение зубовидных связок;st29.009;;;;;;;;;TRUE
